appid,player count,name,developer,publisher,score_rank,positive,negative,userscore,owners,average_forever,average_2weeks,median_forever,median_2weeks,price,initialprice,discount,ccu
1767760,0,Tomb Keeper Mansion Deluxe Pinball,Pinblend Studios,Pinblend Studios,,6.0,0.0,0,"20,000 .. 50,000",0.0,0.0,0.0,0.0,249.0,499.0,50.0,0.0
1211990,0,The Clockworker,"Ixeria, MadBee",The Broken Clock,,37.0,1.0,0,"20,000 .. 50,000",0.0,0.0,0.0,0.0,199.0,199.0,0.0,0.0
1810620,0,Magnet Crusher,ToccGames,ToccGames,,1.0,0.0,0,"20,000 .. 50,000",0.0,0.0,0.0,0.0,599.0,599.0,0.0,0.0
1841780,0,It follows you,Boom Games,Boom Games,,16.0,20.0,0,"20,000 .. 50,000",0.0,0.0,0.0,0.0,199.0,199.0,0.0,0.0
1835290,0,CRATES N' MOHAWKS,hslentz,hslentz,,1.0,0.0,0,"20,000 .. 50,000",0.0,0.0,0.0,0.0,99.0,99.0,0.0,0.0
1724420,0,Ultra Thunderball,Dennis Krüger,"Dennis Krüger, Marlon Krüger",,1.0,0.0,0,"20,000 .. 50,000",0.0,0.0,0.0,0.0,199.0,199.0,0.0,0.0
1878740,0,Five Nights At Floppa,FreezyCat,FreezyCat,,721.0,28.0,0,"20,000 .. 50,000",0.0,0.0,0.0,0.0,299.0,299.0,0.0,1.0
1825380,0,Maroon Berets: 2030,Crescent Games,Crescent Games,,19.0,14.0,0,"20,000 .. 50,000",0.0,0.0,0.0,0.0,799.0,799.0,0.0,0.0
1721870,4,Neon Sundown,Ben Nichols,Ben Nichols,,251.0,17.0,0,"20,000 .. 50,000",0.0,0.0,0.0,0.0,499.0,499.0,0.0,5.0
1914700,0,Elteria Hunter,CH-Gaming Studio,CH-Gaming Studio,,1.0,1.0,0,"20,000 .. 50,000",0.0,0.0,0.0,0.0,899.0,899.0,0.0,0.0
1324350,19,Turbo Golf Racing,Hugecalf Studios,Secret Mode,,311.0,40.0,0,"20,000 .. 50,000",120.0,0.0,120.0,0.0,1439.0,1799.0,20.0,17.0
1420810,1,Touhou Kaeizuka ～ Phantasmagoria of Flower View.,上海アリス幻樂団,"Mediascape Co., Ltd.",,116.0,0.0,0,"20,000 .. 50,000",0.0,0.0,0.0,0.0,1499.0,1499.0,0.0,5.0
572510,0,Superola Champion Edition,Undercoders,JanduSoft,,15.0,0.0,0,"20,000 .. 50,000",0.0,0.0,0.0,0.0,499.0,499.0,0.0,0.0
1991900,0,Breath of Ghosts,Piece Of Voxel,Piece Of Voxel,,12.0,11.0,0,"20,000 .. 50,000",0.0,0.0,0.0,0.0,2499.0,2499.0,0.0,0.0
34274,0,Ecco the Dolphin,SEGA,SEGA,,9.0,1.0,0,"20,000 .. 50,000",0.0,0.0,0.0,0.0,99.0,99.0,0.0,0.0
110600,0,Astro Tripper,PomPom,Pom Pom Games,,34.0,28.0,0,"20,000 .. 50,000",0.0,0.0,0.0,0.0,499.0,499.0,0.0,0.0
273580,0,Descent 2,Parallax,Interplay Inc.,,108.0,8.0,0,"20,000 .. 50,000",9.0,0.0,9.0,0.0,999.0,999.0,0.0,0.0
277510,0,Shiny The Firefly,Stage Clear Studios,Headup Games,,65.0,44.0,0,"20,000 .. 50,000",96.0,0.0,153.0,0.0,999.0,999.0,0.0,0.0
285520,0,Sledgehammer / Gear Grinder,Targem Games,ESDigital Games,,99.0,33.0,0,"20,000 .. 50,000",156.0,0.0,156.0,0.0,799.0,799.0,0.0,1.0
303340,0,Concursion,Puuba,Puuba,,43.0,33.0,0,"20,000 .. 50,000",170.0,0.0,270.0,0.0,499.0,499.0,0.0,0.0
306440,0,Oblitus,Connor Ullmann,Adult Swim Games,,67.0,63.0,0,"20,000 .. 50,000",21.0,0.0,21.0,0.0,1499.0,1499.0,0.0,0.0
313040,0,Pixel Hunter,Lemondo Entertainment,Lemondo Entertainment,,92.0,113.0,0,"20,000 .. 50,000",1.0,0.0,1.0,0.0,299.0,299.0,0.0,0.0
340130,0,Moorhuhn Invasion (Crazy Chicken Invasion),Doyodo,Retroism,,41.0,12.0,0,"20,000 .. 50,000",0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
371890,0,Gunslugs,Orangepixel,Orangepixel,,84.0,28.0,0,"20,000 .. 50,000",0.0,0.0,0.0,0.0,499.0,499.0,0.0,0.0
375170,0,Gunpowder,Rogue Rocket Games,Rogue Rocket Games,,31.0,7.0,0,"20,000 .. 50,000",0.0,0.0,0.0,0.0,199.0,199.0,0.0,0.0
347820,0,Street Arena,Blossom Games,Glob Games Studio,,36.0,36.0,0,"20,000 .. 50,000",0.0,0.0,0.0,0.0,699.0,699.0,0.0,0.0
389310,0,Tic-Toc-Tower,Sneaky Mammoth,SOEDESCO,,49.0,29.0,0,"20,000 .. 50,000",522.0,0.0,522.0,0.0,299.0,299.0,0.0,0.0
366040,0,Iggy's Egg Adventure,Ginger Labs LLC,Ginger Labs LLC,,204.0,26.0,0,"20,000 .. 50,000",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
368680,0,Super Mutant Alien Assault,Cybernate,Surprise Attack,,129.0,17.0,0,"20,000 .. 50,000",16.0,0.0,16.0,0.0,199.0,999.0,80.0,1.0
403440,0,Evil Hazard,Pixel Blitz Studios,Pixel Blitz Studios,,17.0,11.0,0,"20,000 .. 50,000",0.0,0.0,0.0,0.0,299.0,299.0,0.0,0.0
382350,0,Devil's Bluff,KBJGames,KBJGames,,113.0,75.0,0,"20,000 .. 50,000",0.0,0.0,0.0,0.0,399.0,399.0,0.0,0.0
384010,0,Castles,Whootgames,BadLand Publishing,,28.0,15.0,0,"20,000 .. 50,000",140.0,0.0,140.0,0.0,99.0,99.0,0.0,0.0
409420,0,Knight Adventure,Syberstudio,Syberstudio,,25.0,33.0,0,"20,000 .. 50,000",240.0,0.0,265.0,0.0,99.0,99.0,0.0,0.0
402120,3,Deathstate: Abyssal Edition,Bread Machine Games,Bread Machine Games,,299.0,52.0,0,"20,000 .. 50,000",0.0,0.0,0.0,0.0,999.0,999.0,0.0,1.0
384480,0,Six Sides of the World,Cybernetik Design,Cybernetik Design,,83.0,9.0,0,"20,000 .. 50,000",161.0,0.0,161.0,0.0,499.0,499.0,0.0,0.0
444420,0,24 Hours 'til Rescue,"J. Fletcher, Michael Flynn","BrainCraft Gaming, FlynnFour Games",,22.0,62.0,0,"20,000 .. 50,000",0.0,0.0,0.0,0.0,399.0,399.0,0.0,0.0
470450,0,Where's My Helmet?,Mega Boss Game Studio,My Way Games,,64.0,25.0,0,"20,000 .. 50,000",103.0,0.0,150.0,0.0,499.0,499.0,0.0,2.0
509570,2,In Celebration of Violence,Julian Edison,Julian Edison,,398.0,51.0,0,"20,000 .. 50,000",116.0,0.0,116.0,0.0,799.0,799.0,0.0,0.0
351410,0,Clean'Em Up,"Cheesy Holes, Bauer",Cheesy Holes,,54.0,4.0,0,"20,000 .. 50,000",7463.0,0.0,7463.0,0.0,0.0,0.0,0.0,0.0
510790,0,The Sun Will Rise,The Sun Will Rise Team,The Sun Will Rise Team,,38.0,32.0,0,"20,000 .. 50,000",15775.0,0.0,15775.0,0.0,0.0,0.0,0.0,0.0
518720,0,Overkill VR: Action Shooter FPS,"Starloop Studios, Craneballs Studio",Game Troopers,,193.0,70.0,0,"20,000 .. 50,000",61.0,0.0,100.0,0.0,1999.0,1999.0,0.0,0.0
519080,0,Soda Girls,Bomber Studio,Bomber Studio,,266.0,39.0,0,"20,000 .. 50,000",87.0,0.0,87.0,0.0,899.0,899.0,0.0,0.0
549760,0,Evolution VR,Magic Tavern,Magic Tavern,,95.0,23.0,0,"20,000 .. 50,000",9633.0,0.0,19237.0,0.0,0.0,0.0,0.0,0.0
553820,0,DeathMetal,Playito.com,Playito.com,,32.0,13.0,0,"20,000 .. 50,000",242.0,0.0,270.0,0.0,299.0,299.0,0.0,0.0
528430,0,Wells,Tower Up Studios,Tower Up Studios,,78.0,23.0,0,"20,000 .. 50,000",239.0,0.0,259.0,0.0,399.0,399.0,0.0,0.0
568860,0,Psycho on the loose,WhackAKey Games,Big Black Bear,,18.0,13.0,0,"20,000 .. 50,000",322.0,0.0,327.0,0.0,99.0,99.0,0.0,2.0
408030,3,UniBall,StormBrewers,StormBrewers,,153.0,17.0,0,"20,000 .. 50,000",6251.0,0.0,6251.0,0.0,0.0,0.0,0.0,3.0
552080,7,IronWolf VR,Ionized Studios,Ionized Studios,,935.0,40.0,0,"20,000 .. 50,000",233.0,0.0,294.0,0.0,1999.0,1999.0,0.0,2.0
581230,0,Soul Saber 2,Yamadaya,Henteko Doujin,,138.0,98.0,0,"20,000 .. 50,000",265.0,0.0,265.0,0.0,999.0,999.0,0.0,0.0
603220,0,ROTii,DarkShot Studios,DarkShot Studios,,13.0,3.0,0,"20,000 .. 50,000",243.0,0.0,262.0,0.0,0.0,0.0,0.0,0.0
599880,1,Tequila Zombies 3,IriySoft,IriySoft,,58.0,21.0,0,"20,000 .. 50,000",197.0,0.0,197.0,0.0,299.0,299.0,0.0,2.0
603250,0,My Own Little Planet,"Lucas Parise, Mind Flayer Studios","Lucas Parise, Mind Flayer Studios",,17.0,13.0,0,"20,000 .. 50,000",287.0,0.0,303.0,0.0,599.0,599.0,0.0,0.0
625940,1,Tomato Jones 2,HA Studio Ltd.,SA Industry,,50.0,13.0,0,"20,000 .. 50,000",0.0,0.0,0.0,0.0,499.0,499.0,0.0,16.0
600410,0,HERO-E,Osky Studios,Osky Studios,,27.0,9.0,0,"20,000 .. 50,000",14078.0,0.0,14078.0,0.0,0.0,0.0,0.0,0.0
