appid,player count,name,developer,publisher,score_rank,positive,negative,userscore,owners,average_forever,average_2weeks,median_forever,median_2weeks,price,initialprice,discount,ccu
897610,1,Scrapland Remastered,MercurySteam,Mercury Steam Entertainment s.l.,,44.0,6.0,0,"0 .. 20,000",0.0,0.0,0.0,0.0,1999.0,1999.0,0.0,2.0
1481550,0,Resistance: The 8th Wave,Dingxiang Cyber LLC,Dingxiang Cyber LLC,,8.0,7.0,0,"0 .. 20,000",0.0,0.0,0.0,0.0,399.0,399.0,0.0,0.0
1447290,0,Tactical Operations Force,"Leonardo Andres Villegas Alegre, Othman Power Switch, Rajan Rana",Leonardo Andres Villegas Alegre,,1.0,3.0,0,"0 .. 20,000",0.0,0.0,0.0,0.0,1199.0,1199.0,0.0,0.0
1833340,0,Anima,Jean Pierre Arteaga,Psi Studios,,0.0,1.0,0,"0 .. 20,000",0.0,0.0,0.0,0.0,1999.0,1999.0,0.0,0.0
1547620,0,JezzBall Atomic,Cracked Atom,Cracked Atom,,4.0,0.0,0,"0 .. 20,000",0.0,0.0,0.0,0.0,599.0,599.0,0.0,0.0
1791680,0,KAREN SEES,Diax Arts,Diax Arts,,24.0,7.0,0,"0 .. 20,000",0.0,0.0,0.0,0.0,49.0,499.0,90.0,0.0
1853150,0,American Christmas,Daniel Manzie,Daniel Manize,,3.0,0.0,0,"0 .. 20,000",0.0,0.0,0.0,0.0,399.0,399.0,0.0,0.0
1853080,0,Cyber Runner,Meng Games,Meng Games,,9.0,0.0,0,"0 .. 20,000",0.0,0.0,0.0,0.0,49.0,99.0,51.0,0.0
1850420,0,BYLITSA: VASNA,Dnovel,Dnovel,,15.0,0.0,0,"0 .. 20,000",0.0,0.0,0.0,0.0,199.0,199.0,0.0,0.0
1846510,0,The First Odyssey,Sphaera Studios,Sphaera Studios,,1.0,2.0,0,"0 .. 20,000",0.0,0.0,0.0,0.0,199.0,399.0,50.0,0.0
1790780,0,Bimous,Terafox Studio,Terafox Studio,,2.0,0.0,0,"0 .. 20,000",0.0,0.0,0.0,0.0,299.0,299.0,0.0,0.0
1857580,0,Get Achievements for Achievements,Dnovel,Dnovel,,77.0,5.0,0,"0 .. 20,000",0.0,0.0,0.0,0.0,199.0,199.0,0.0,0.0
1815170,0,Asteroides,Verrua Giuseppe,bit ManiaX,,5.0,1.0,0,"0 .. 20,000",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1837160,0,Action Ball,Rionix,Rionix,,6.0,0.0,0,"0 .. 20,000",0.0,0.0,0.0,0.0,699.0,699.0,0.0,0.0
1859590,0,The Zombie Smasher,"Atomic Fabrik, Cristian Manolachi",Cristian Manolachi,,19.0,9.0,0,"0 .. 20,000",0.0,0.0,0.0,0.0,899.0,899.0,0.0,1.0
1752050,0,Levenium,Just One More Minute,Just One More Minute,,1.0,0.0,0,"0 .. 20,000",0.0,0.0,0.0,0.0,599.0,599.0,0.0,0.0
1840330,0,Dummy Falls,Waltteri Heinonen,Waltteri Heinonen,,5.0,1.0,0,"0 .. 20,000",0.0,0.0,0.0,0.0,299.0,299.0,0.0,0.0
1867070,0,Darxanadon,Scumhead,Scumhead,,21.0,13.0,0,"0 .. 20,000",0.0,0.0,0.0,0.0,499.0,499.0,0.0,0.0
1866840,0,Mysterious Adventure of Michael 2,HUNTERS,HUNTERS,,2.0,0.0,0,"0 .. 20,000",0.0,0.0,0.0,0.0,399.0,399.0,0.0,0.0
1596360,0,Unnatural Investigations,Dimension Unknown Studio,Dimension Unknown Studio,,1.0,1.0,0,"0 .. 20,000",0.0,0.0,0.0,0.0,1399.0,1399.0,0.0,0.0
1855920,0,Missing Plane: Survival,SU Games,SU Games,,10.0,16.0,0,"0 .. 20,000",0.0,0.0,0.0,0.0,999.0,999.0,0.0,0.0
1873800,0,DEAD GUN,Max Pedro,Louie Inc,,11.0,1.0,0,"0 .. 20,000",0.0,0.0,0.0,0.0,1099.0,1099.0,0.0,0.0
