appid,player count,name,developer,publisher,score_rank,positive,negative,userscore,owners,average_forever,average_2weeks,median_forever,median_2weeks,price,initialprice,discount,ccu
921500,0,Jack Is Missing,Kevin Yang Games,SA Industry,,63.0,53.0,0,"20,000 .. 50,000",0.0,0.0,0.0,0.0,49.0,499.0,90.0,1.0
929060,2,Road to Eden,Zouking,Digitalworks,,253.0,112.0,0,"20,000 .. 50,000",28.0,0.0,28.0,0.0,1999.0,1999.0,0.0,8.0
887060,3,Asterix & Obelix XXL 2,OSome Studio,Microids,,528.0,138.0,0,"20,000 .. 50,000",0.0,0.0,0.0,0.0,2999.0,2999.0,0.0,8.0
948510,0,Monster Clicker : Idle Halloween Strategy,Autotelic Games LLC,Autotelic Games LLC,,30.0,33.0,0,"20,000 .. 50,000",0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
928390,0,R-Type Dimensions EX,"Tozai Games, Inc., ESQUADRA,inc.","Tozai Games, Inc.",,212.0,29.0,0,"20,000 .. 50,000",17.0,0.0,29.0,0.0,1499.0,1499.0,0.0,3.0
987820,0,CHRONO,Martin Nayeri,nima,,87.0,27.0,0,"20,000 .. 50,000",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
886220,0,Thunderballs VR,Megafauna LLC,Megafauna LLC,,7.0,2.0,0,"20,000 .. 50,000",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
863460,0,Cyber Ops,Octeto Studios,Games Operators,,47.0,47.0,0,"20,000 .. 50,000",40.0,0.0,40.0,0.0,299.0,1499.0,80.0,0.0
1004490,19,Tools Up!,The Knights of Unity,All in! Games,,625.0,205.0,0,"20,000 .. 50,000",163.0,0.0,280.0,0.0,599.0,1999.0,70.0,22.0
850980,1,GUILTY GEAR,Arc System Works,Arc System Works,,284.0,45.0,0,"20,000 .. 50,000",37.0,0.0,37.0,0.0,999.0,999.0,0.0,1.0
763710,1,River City Melee Mach!!,Arc System Works,Arc System Works,,76.0,22.0,0,"20,000 .. 50,000",0.0,0.0,0.0,0.0,1399.0,1399.0,0.0,1.0
991260,6,Borderlands 2 VR,Gearbox Software,2K,,648.0,514.0,0,"20,000 .. 50,000",36.0,0.0,43.0,0.0,4999.0,4999.0,0.0,4.0
1175360,1,Doomsday Hunters,Moregames,Moregames,,442.0,43.0,0,"20,000 .. 50,000",791.0,0.0,1543.0,0.0,1599.0,1599.0,0.0,2.0
1259510,0,Venge,Ekrcoaster,Ekrcoaster,,262.0,19.0,0,"20,000 .. 50,000",0.0,0.0,0.0,0.0,199.0,199.0,0.0,0.0
1274340,0,ColorsInvasion,Color Games,A. Cardinaux,,3.0,0.0,0,"20,000 .. 50,000",0.0,0.0,0.0,0.0,99.0,99.0,0.0,0.0
1239050,0,Mists of Aiden,Steppe Hare Studio,Steppe Hare Studio,,907.0,82.0,0,"20,000 .. 50,000",106.0,0.0,106.0,0.0,552.0,699.0,21.0,1.0
1336450,0,Poco In,Sonic-Alpha,NS,,22.0,6.0,0,"20,000 .. 50,000",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1369830,0,Kaiju Krashers,Brandon Mccurdy,Retrobolt,,1.0,2.0,0,"20,000 .. 50,000",0.0,0.0,0.0,0.0,199.0,199.0,0.0,0.0
1404070,0,Save The Astronaut,Open Maw Productions,Open Maw Productions,,14.0,0.0,0,"20,000 .. 50,000",0.0,0.0,0.0,0.0,99.0,99.0,0.0,0.0
1203180,7,Breakwaters,Soaring Pixels Games,Soaring Pixels Games,,502.0,301.0,0,"20,000 .. 50,000",148.0,0.0,148.0,0.0,1999.0,1999.0,0.0,6.0
1455590,1,Sword of the Necromancer - Prologue,Grimorio of Games,JanduSoft,,239.0,34.0,0,"20,000 .. 50,000",0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
1501390,0,KING PONG,Iconik,"Iconik, Plug In Digital",,12.0,3.0,0,"20,000 .. 50,000",0.0,0.0,0.0,0.0,1999.0,1999.0,0.0,0.0
1509850,0,Swallow The Blue: Remastered,Euphoric Brothers,Euphoric Brothers,,44.0,21.0,0,"20,000 .. 50,000",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1536830,0,41 Hours: Prologue,Texelworks,ValkyrieInitiative,,29.0,27.0,0,"20,000 .. 50,000",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
