appid,player count,name,developer,publisher,score_rank,positive,negative,userscore,owners,average_forever,average_2weeks,median_forever,median_2weeks,price,initialprice,discount,ccu
268670,0,The Memory of Eldurim,Liminal Games,Liminal Games,,100.0,144.0,0,"20,000 .. 50,000",29.0,0.0,29.0,0.0,99.0,99.0,0.0,0.0
284140,0,Majestic Nights,Epiphany Games,Epiphany Games,,68.0,44.0,0,"20,000 .. 50,000",0.0,0.0,0.0,0.0,499.0,499.0,0.0,0.0
299660,0,6180 the moon,"Turtle Cream, PokPoong Games",Turtle Cream,,439.0,43.0,0,"20,000 .. 50,000",557.0,0.0,1069.0,0.0,399.0,399.0,0.0,0.0
315110,0,Woah Dave!,MiniVisions,Choice Provisions,,83.0,27.0,0,"20,000 .. 50,000",0.0,0.0,0.0,0.0,499.0,499.0,0.0,0.0
316810,0,Shadowcrypt,One-bit Punch,One-bit Punch,,61.0,48.0,0,"20,000 .. 50,000",0.0,0.0,0.0,0.0,499.0,499.0,0.0,0.0
317970,0,Dusk 12,Orion Games,ESDigital Games,,82.0,93.0,0,"20,000 .. 50,000",218.0,0.0,218.0,0.0,399.0,399.0,0.0,0.0
347940,0,Forsaken Isle,Smoodlez,Smoodlez,,206.0,161.0,0,"20,000 .. 50,000",0.0,0.0,0.0,0.0,799.0,799.0,0.0,0.0
259830,0,Wooden Sen'SeY,Upper Byte,Spawn Digital,,68.0,57.0,0,"20,000 .. 50,000",160.0,0.0,248.0,0.0,999.0,999.0,0.0,0.0
342520,0,BoxesWithGuns,"Thomas Christof, Giovanni Rotondo, Thomas S.",Thomas Christof,,17.0,64.0,0,"20,000 .. 50,000",3.0,0.0,3.0,0.0,199.0,199.0,0.0,0.0
358390,0,Stargunner,3D Realms,3D Realms (Apogee Software),,83.0,16.0,0,"20,000 .. 50,000",15243.0,0.0,15243.0,0.0,0.0,0.0,0.0,1.0
327060,0,FEIST,Bits &amp; Beasts,Finji,,378.0,122.0,0,"20,000 .. 50,000",0.0,0.0,0.0,0.0,999.0,999.0,0.0,0.0
369180,0,SoulCraft,MobileBits,Headup Games,,59.0,63.0,0,"20,000 .. 50,000",0.0,0.0,0.0,0.0,499.0,499.0,0.0,1.0
359940,0,Shadows Peak,Andrii Vintsevych,Andrii Vintsevych,,203.0,78.0,0,"20,000 .. 50,000",0.0,0.0,0.0,0.0,649.0,999.0,35.0,2.0
356580,0,Aerannis,ektomarch,ektomarch,,92.0,39.0,0,"20,000 .. 50,000",7.0,0.0,7.0,0.0,99.0,99.0,0.0,0.0
404050,0,Black & White Bushido,Good Catch Games,"Green Man Gaming Publishing, Good Catch Games",,113.0,53.0,0,"20,000 .. 50,000",0.0,0.0,0.0,0.0,1299.0,1299.0,0.0,0.0
399000,0,Porradaria Upgrade,CleanWaterSoft,CleanWaterSoft,,41.0,19.0,0,"20,000 .. 50,000",228.0,0.0,263.0,0.0,0.0,0.0,0.0,0.0
374240,0,Eternal Step,Once More With Gusto,Green Man Gaming Publishing,,39.0,19.0,0,"20,000 .. 50,000",687.0,0.0,687.0,0.0,999.0,999.0,0.0,0.0
413030,0,Mytheon,Petroglyph,Petroglyph,,60.0,58.0,0,"20,000 .. 50,000",0.0,0.0,0.0,0.0,999.0,999.0,0.0,0.0
429490,0,Resilience Wave Survival,Jimbob Games,Jimbob Games,,112.0,71.0,0,"20,000 .. 50,000",0.0,0.0,0.0,0.0,499.0,499.0,0.0,0.0
403850,0,Sky To Fly: Faster Than Wind,AIVIK LLC,Absolutist Ltd.,,70.0,34.0,0,"20,000 .. 50,000",0.0,0.0,0.0,0.0,199.0,399.0,50.0,0.0
431450,0,Alchemist's Awakening,Osaris Games,Osaris Games,,358.0,120.0,0,"20,000 .. 50,000",96.0,0.0,96.0,0.0,999.0,999.0,0.0,0.0
314180,2,Deathsmiles,"CAVE Interactive CO.,LTD.",Komodo,,452.0,17.0,0,"20,000 .. 50,000",124.0,0.0,124.0,0.0,1999.0,1999.0,0.0,2.0
386650,0,Dungeons and Robots,Glow Games Studio,Digital Tribe,,74.0,89.0,0,"20,000 .. 50,000",0.0,0.0,0.0,0.0,899.0,899.0,0.0,0.0
420550,0,Super Arcade Football,OutOfTheBit Ltd,OutOfTheBit Ltd,,126.0,52.0,0,"20,000 .. 50,000",0.0,0.0,0.0,0.0,999.0,999.0,0.0,0.0
429830,0,Unseen Diplomacy,Triangular Pixels,Triangular Pixels,,138.0,17.0,0,"20,000 .. 50,000",0.0,0.0,0.0,0.0,299.0,299.0,0.0,0.0
446390,3,Onechanbara Z2: Chaos,Tamsoft,D3PUBLISHER,,620.0,179.0,0,"20,000 .. 50,000",558.0,0.0,558.0,0.0,3999.0,3999.0,0.0,3.0
490880,0,Robot Legions Reborn,Skyboy Games,Skyboy Games,,40.0,9.0,0,"20,000 .. 50,000",270.0,0.0,270.0,0.0,119.0,299.0,60.0,0.0
457810,0,Sky to Fly: Soulless Leviathan,AIVIK LLC,Absolutist Ltd.,,57.0,17.0,0,"20,000 .. 50,000",0.0,0.0,0.0,0.0,199.0,399.0,50.0,0.0
492180,0,Haimrik,Below the Game,Fulqrum Publishing,,197.0,39.0,0,"20,000 .. 50,000",0.0,0.0,0.0,0.0,999.0,999.0,0.0,0.0
491720,0,Nary,Khud0,Khud0,,35.0,8.0,0,"20,000 .. 50,000",170.0,0.0,221.0,0.0,199.0,199.0,0.0,1.0
296890,0,Neon Shadow,Tasty Poison,Crescent Moon Games,,58.0,13.0,0,"20,000 .. 50,000",0.0,0.0,0.0,0.0,499.0,499.0,0.0,0.0
513880,3,Panzer Warfare,Kobra Studio,Kobra Studio,,43.0,26.0,0,"20,000 .. 50,000",423.0,0.0,484.0,0.0,61.0,199.0,69.0,2.0
476700,0,Island 359,"CloudGate Studio, Inc.","CloudGate Studio, Inc.",,327.0,99.0,0,"20,000 .. 50,000",0.0,0.0,0.0,0.0,1499.0,1499.0,0.0,0.0
530520,0,Aegis,Innuendo Squad Studios,Innuendo Squad Studios,,19.0,28.0,0,"20,000 .. 50,000",0.0,0.0,0.0,0.0,299.0,299.0,0.0,0.0
465870,1,SHOCK TROOPERS 2nd Squad,"SNK CORPORATION, Dotemu",SNK CORPORATION,,47.0,41.0,0,"20,000 .. 50,000",6.0,0.0,6.0,0.0,799.0,799.0,0.0,1.0
