appid,player count,name,developer,publisher,score_rank,positive,negative,userscore,owners,average_forever,average_2weeks,median_forever,median_2weeks,price,initialprice,discount,ccu
570,368142,Dota 2,Valve,Valve,,1522243,314225,0,"200,000,000 .. 500,000,000",38004,1697,752,953,0,0,0,624634
730,378812,Counter-Strike: Global Offensive,"Valve, Hidden Path Entertainment",Valve,,5926012,785171,0,"50,000,000 .. 100,000,000",30075,775,6864,264,0,0,0,747905
578080,67089,PUBG: BATTLEGROUNDS,"KRAFTON, Inc.","KRAFTON, Inc.",,1182394,907360,0,"50,000,000 .. 100,000,000",22155,781,6470,222,0,0,0,256666
1063730,40836,New World,Amazon Games,Amazon Games,,161467,74422,0,"50,000,000 .. 100,000,000",6872,490,3537,94,3999,3999,0,52597
440,97140,Team Fortress 2,Valve,Valve,,844446,57326,0,"50,000,000 .. 100,000,000",8822,694,338,104,0,0,0,97510
271590,50354,Grand Theft Auto V,Rockstar North,Rockstar Games,,1223705,213100,0,"20,000,000 .. 50,000,000",12471,599,5967,186,1480,1480,0,97247
304930,23740,Unturned,Smartly Dressed Games,Smartly Dressed Games,,450842,42037,0,"20,000,000 .. 50,000,000",6982,3056,331,829,0,0,0,58103
550,12024,Left 4 Dead 2,Valve,Valve,,641627,16760,0,"20,000,000 .. 50,000,000",1997,137,531,61,999,999,0,14782
105600,38726,Terraria,Re-Logic,Re-Logic,,1008971,22198,0,"20,000,000 .. 50,000,000",6422,975,1503,434,999,999,0,55024
230410,20047,Warframe,Digital Extremes,Digital Extremes,,448052,67961,0,"20,000,000 .. 50,000,000",9151,1355,408,387,0,0,0,36227
252490,71468,Rust,Facepunch Studios,Facepunch Studios,,728823,111648,0,"20,000,000 .. 50,000,000",20162,1394,3417,720,2679,3999,33,80990
1172470,67980,Apex Legends,Respawn Entertainment,Electronic Arts,,447669,75176,0,"20,000,000 .. 50,000,000",6698,737,745,309,0,0,0,186756
1599340,162724,Lost Ark,Smilegate RPG,Amazon Games,,128376,45481,0,"20,000,000 .. 50,000,000",2927,1598,673,499,0,0,0,210671
1245620,19831,ELDEN RING,FromSoftware Inc.,"FromSoftware Inc., Bandai Namco Entertainment",,487712,52068,0,"20,000,000 .. 50,000,000",5701,396,4846,198,5999,5999,0,26592
236390,31519,War Thunder,Gaijin Entertainment,Gaijin Distribution KFT,,265135,72898,0,"20,000,000 .. 50,000,000",7112,780,431,255,0,0,0,51414
359550,21234,Tom Clancy's Rainbow Six Siege,Ubisoft Montreal,Ubisoft,,942045,142906,0,"20,000,000 .. 50,000,000",12813,564,2376,165,1999,1999,0,29169
340,8,Half-Life 2: Lost Coast,Valve,Valve,,9546,1275,0,"20,000,000 .. 50,000,000",143,0,21,0,0,0,0,18
238960,6926,Path of Exile,Grinding Gear Games,Grinding Gear Games,,167854,24783,0,"20,000,000 .. 50,000,000",7685,2010,323,1710,0,0,0,10624
892970,11404,Valheim,Iron Gate AB,Coffee Stain Publishing,,345032,17603,0,"20,000,000 .. 50,000,000",3228,650,1480,358,1999,1999,0,15568
1085660,53207,Destiny 2,Bungie,Bungie,,418998,81451,0,"20,000,000 .. 50,000,000",9047,1353,407,402,0,0,0,66747
218620,29192,PAYDAY 2,OVERKILL - a Starbreeze Studio.,Starbreeze Publishing AB,,531055,63061,0,"20,000,000 .. 50,000,000",5431,2047,592,237,499,999,50,39039
1097150,3936,Fall Guys: Ultimate Knockout,Mediatonic,Ravenscourt,,382327,88012,0,"20,000,000 .. 50,000,000",1211,168,574,68,0,0,0,4761
901583,3936,Grand Theft Auto IV: Complete Edition,"Rockstar North, Rockstar Toronto",Rockstar Games,,88400,24849,0,"10,000,000 .. 20,000,000",0,0,0,0,0,0,0,0
1468810,1348,鬼谷八荒 Tale of Immortal,鬼谷工作室,"鬼谷工作室, Lightning Games",,106542,105252,0,"10,000,000 .. 20,000,000",2995,1270,1859,1151,1999,1999,0,8863
444090,4119,Paladins,Evil Mojo Games,Hi-Rez Studios,,283428,48230,0,"10,000,000 .. 20,000,000",2736,1421,476,204,0,0,0,5466
1240440,3592,Halo Infinite,343 Industries,Xbox Game Studios,,106484,43822,0,"10,000,000 .. 20,000,000",866,634,148,901,0,0,0,4677
291480,641,Warface,MY.GAMES,MY.GAMES,,53453,25697,0,"10,000,000 .. 20,000,000",1282,2218,125,3181,0,0,0,1971
10,6469,Counter-Strike,Valve,Valve,,200935,5186,0,"10,000,000 .. 20,000,000",12004,385,223,358,999,999,0,11736
49520,2189,Borderlands 2,"Gearbox Software, Aspyr (Mac), Aspyr (Linux)","2K, Aspyr (Mac), Aspyr (Linux)",,250236,16744,0,"10,000,000 .. 20,000,000",2798,171,999,156,1999,1999,0,2678
242760,9717,The Forest,Endnight Games Ltd,Endnight Games Ltd,,388151,19394,0,"10,000,000 .. 20,000,000",1604,210,910,213,499,1999,75,6508
227940,976,Heroes & Generals,TLM Partners,TLM Partners,,94056,46620,0,"10,000,000 .. 20,000,000",997,79,88,112,0,0,0,2120
381210,35543,Dead by Daylight,Behaviour Interactive Inc.,Behaviour Interactive Inc.,,507417,116006,0,"10,000,000 .. 20,000,000",9734,626,1411,139,799,1999,60,46089
346110,34477,ARK: Survival Evolved,"Studio Wildcard, Instinct Games, Efecto Studios, Virtual Basement LLC",Studio Wildcard,,479364,101131,0,"10,000,000 .. 20,000,000",10066,1303,866,971,1999,1999,0,55689
252950,27941,Rocket League,Psyonix LLC,Psyonix LLC,,496188,62998,0,"10,000,000 .. 20,000,000",15186,430,2633,258,0,0,0,36234
320,130,Half-Life 2: Deathmatch,Valve,Valve,,9925,1069,0,"10,000,000 .. 20,000,000",514,0,40,0,499,499,0,147
620,1168,Portal 2,Valve,Valve,,304923,3754,0,"10,000,000 .. 20,000,000",906,267,518,396,999,999,0,1632
552990,3111,World of Warships,Wargaming Group Limited,Wargaming Group Limited,,88157,21307,0,"10,000,000 .. 20,000,000",1966,201,181,175,0,0,0,6875
