appid,name,developer,publisher,score_rank,positive,negative,userscore,owners,average_forever,average_2weeks,median_forever,median_2weeks,price,initialprice,discount,ccu
1331330,CurryKitten FPV Simulator,Wayne Andrews,CurryKitten,,29,7,0,"0 .. 20,000",0,0,0,0,199,199,0,0
1274020,Castle Fight,Team Californium,Team Californium,,10,3,0,"0 .. 20,000",0,0,0,0,0,0,0,0
745730,Sunshine Manor,Fossil Games,Hound Picked Games,,34,3,0,"0 .. 20,000",0,0,0,0,499,999,50,0
1217660,往け！往け！マグロ - THE SHOOTING MAGURO -,NeuronFlareWorks,NeuronFlareWorks,,2,1,0,"0 .. 20,000",0,0,0,0,299,299,0,0
1256650,Move It Up,BOMDING TECHNOLOGY,BOMDING TECHNOLOGY,,3,0,0,"0 .. 20,000",0,0,0,0,1499,1499,0,0
1279400,STRIKERS 1945 III,"CITY CONNECTION, Zerodiv",CITY CONNECTION,,44,8,0,"0 .. 20,000",0,0,0,0,999,999,0,1
1334970,The Neon Mate,Rhomita,Rhomita,,13,0,0,"0 .. 20,000",0,0,0,0,199,199,0,0
1338930,Invaliens,Galactic Droids Ltd,Galactic Droids Ltd,,0,1,0,"0 .. 20,000",0,0,0,0,299,299,0,0
1243200,STUFFED: Fun Co-Op FPS,Waving Bear Studio,Waving Bear Studio,,150,36,0,"0 .. 20,000",0,0,0,0,649,1299,50,1
1286280,Pronty,"18Light Game Ltd., FunZone Games","18Light Game Ltd., CE-Asia, 樂磚 Joy Brick, Mayflower Entertainment",,499,22,0,"0 .. 20,000",0,0,0,0,1799,1799,0,3
1319220,Don't Fall Asleep,BOOMERANG,BOOMERANG,,2,1,0,"0 .. 20,000",0,0,0,0,199,199,0,0
1336460,Moirs,XVVX STUDIO,XVVX STUDIO,,19,0,0,"0 .. 20,000",0,0,0,0,499,499,0,0
1332860,STAYHOMER,Noto Muteki,Noto Muteki,,44,4,0,"0 .. 20,000",0,0,0,0,299,299,0,0
1313360,Underfire,"Beribo Games, Rakarnov",Beribo Games,,10,16,0,"0 .. 20,000",0,0,0,0,99,99,0,0
1326170,Immortal Hero,"박재성, 이재승, 이수, 정지현",Team RG,,13,5,0,"0 .. 20,000",0,0,0,0,0,0,0,0
1346240,Sporadic Spire,Contamination Studios,Contamination Studios,,55,7,0,"0 .. 20,000",0,0,0,0,0,0,0,0
1254620,NAMCO MUSEUM ARCHIVES Vol 2,"M2 Co.,LTD",BANDAI NAMCO Entertainment,,65,9,0,"0 .. 20,000",183,0,183,0,1999,1999,0,2
1348510,问道仙途,青灯独酌,青灯独酌,,25,12,0,"0 .. 20,000",0,0,0,0,164,299,45,0
1344870,Zombie School Survival,123,123,,1,2,0,"0 .. 20,000",0,0,0,0,0,0,0,0
1344900,OMG - One More Goal!,Blue Aura Games,Blue Aura Games,,1,0,0,"0 .. 20,000",0,0,0,0,299,299,0,0
1332690,Kill The Humans,Cold Beverage Studios,Walsh Technologies Corp,,1,0,0,"0 .. 20,000",0,0,0,0,999,999,0,0
1330820,Hunting Unlimited 3,SCS Software,Ziggurat,,16,0,0,"0 .. 20,000",0,0,0,0,999,999,0,0
1352680,Winter War 1939,Thorium Game Lab,Thorium Game Lab,,82,10,0,"0 .. 20,000",0,0,0,0,499,499,0,0
1359160,Rocket Bots,ic3bug,ic3bug,,37,8,0,"0 .. 20,000",0,0,0,0,0,0,0,0
1356480,helionaut,Sokpop Collective,Sokpop Collective,,80,4,0,"0 .. 20,000",0,0,0,0,299,299,0,0
1358030,Shooting Arena VR,Infinity Studio,Infinity Studio,,27,1,0,"0 .. 20,000",0,0,0,0,1299,1299,0,0
1363980,时之痕 Trace Of Time,日夜爆肝的千,日夜爆肝的千,,36,10,0,"0 .. 20,000",0,0,0,0,699,699,0,0
1279420,Dragon Blaze,"CITY CONNECTION, Zerodiv",CITY CONNECTION,,39,1,0,"0 .. 20,000",0,0,0,0,999,999,0,0
1370000,Max and the Book of Chaos,Orenji Games Entertainment,Orenji Games Entertainment,,5,1,0,"0 .. 20,000",0,0,0,0,899,899,0,0
1372680,Castle Grimholt,False Crow Studios Ltd,False Crow Studios Ltd,,6,6,0,"0 .. 20,000",0,0,0,0,0,0,0,0
1257920,Canon - Legend of the New Gods,Super Fighter Team,"Piko Interactive, Bleem!",,1,1,0,"0 .. 20,000",0,0,0,0,479,1199,60,0
1355560,Aloof,ButtonX,ButtonX,,27,0,0,"0 .. 20,000",0,0,0,0,499,499,0,0
1337000,Bugvasion TD,Full Screen Games,Full Screen Games,,19,1,0,"0 .. 20,000",0,0,0,0,699,699,0,0
1381610,AEON BLOOD,S H B studio,S H B studio,,5,9,0,"0 .. 20,000",0,0,0,0,999,999,0,0
1380210,Lucky Burst,STGamz,STGamz,,0,1,0,"0 .. 20,000",0,0,0,0,0,0,0,0
356030,The Survivor,Starship Studio,Starship Studio,,14,13,0,"0 .. 20,000",0,0,0,0,99,99,0,0
1384090,AutoLand,NanningsGames,NanningsGames,,8,2,0,"0 .. 20,000",0,0,0,0,99,99,0,0
1303630,Rachael Savage,Nick Marinello,Nick Marinello,,1,0,0,"0 .. 20,000",0,0,0,0,499,499,0,0
1377430,Sword Reverie,Isekai Entertainment,Isekai Entertainment,,76,34,0,"0 .. 20,000",0,0,0,0,1999,1999,0,0
1382770,Knightczech: The beginning,FridolinSlehacka,FridolinSlehacka,,2,2,0,"0 .. 20,000",0,0,0,0,1499,1499,0,0
1390080,Tank Rampage,targim.,targim.,,0,1,0,"0 .. 20,000",0,0,0,0,399,399,0,0
1387870,Alien Cat 8,Repa Games,Trinity Project,,4,2,0,"0 .. 20,000",0,0,0,0,299,299,0,0
1369950,亡命尸潮惊魂夜 Escape Zombies At Night,morescore studio,morescore studio,,5,4,0,"0 .. 20,000",0,0,0,0,99,99,0,0
1345400,群鹰之岛,Pixelnicks,Surefire.Games,,17,2,0,"0 .. 20,000",0,0,0,0,699,699,0,0
1326920,AstroWings: Space War,Toward Inc.,Toward Inc.,,7,2,0,"0 .. 20,000",0,0,0,0,799,799,0,0
1393890,Sweet Dungeon,Little_Demon Studio,Little_Demon Studio,,15,12,0,"0 .. 20,000",0,0,0,0,199,199,0,0
1398220,IMPAVIDVM,PiMark Games,PiMark Games,,2,0,0,"0 .. 20,000",0,0,0,0,999,999,0,0
1406770,Evil Icebox,MATER,MATER,,5,1,0,"0 .. 20,000",0,0,0,0,99,99,0,0
711380,Code of Princess EX,Studio Saizensen,"Nicalis, Inc.",,24,14,0,"0 .. 20,000",0,0,0,0,1999,1999,0,1
1415370,Grandmother,JUNGLE,JUNGLE,,16,10,0,"0 .. 20,000",0,0,0,0,499,499,0,0
1412680,THE ORIGIN: Blind Maid,Waraní Studios,Waraní Studios,,24,21,0,"0 .. 20,000",0,0,0,0,899,1499,40,0
1408710,Regain Earth: First Strike,GameFlow Studios,GameFlow Studios,,62,9,0,"0 .. 20,000",0,0,0,0,1299,1299,0,0
1308760,Mesmer,Rain Games,Rain Games,,20,6,0,"0 .. 20,000",0,0,0,0,1499,1499,0,0
1398500,MECHBLAZE,ASTRO PORT,Henteko Doujin,,45,2,0,"0 .. 20,000",0,0,0,0,999,999,0,0
1382320,Antonball Deluxe,Summitsphere,Proponent Games,,174,6,0,"0 .. 20,000",0,0,0,0,1499,1499,0,1
1411420,Ordeal,"BCEBOLOD, KiBer_Ogurchik",Team Phoenix,,11,2,0,"0 .. 20,000",0,0,0,0,99,99,0,0
1425140,Until Last Breath,Mario Murkl,Mario Murkl,,8,2,0,"0 .. 20,000",0,0,0,0,199,199,0,0
1422790,门 The Door,织女星,织女星,,0,3,0,"0 .. 20,000",0,0,0,0,99,99,0,0
1428610,Animal Rescuer: Prologue,Turquoise Revival Games,Turquoise Revival Games,,82,34,0,"0 .. 20,000",0,0,0,0,0,0,0,0
1222080,Feeling Square?,SquareBoxStudio,SquareBoxStudio,,1,1,0,"0 .. 20,000",0,0,0,0,99,99,0,0
1434880,ROBO OH,Foxy Boxy Games,Foxy Boxy Games,,38,1,0,"0 .. 20,000",0,0,0,0,199,199,0,0
1186770,Disgrâce,Bladiriel,Bladiriel,,0,2,0,"0 .. 20,000",0,0,0,0,299,299,0,0
588930,King 'n Knight,Jérémy Entressangle,Jérémy Entressangle,,41,9,0,"0 .. 20,000",0,0,0,0,779,1199,35,2
1438830,Dark Asteroids,Dark Beast Game,Dark Beast Game,,1,0,0,"0 .. 20,000",0,0,0,0,199,199,0,0
1427770,Rhythm 'n Bullets,DB Creations,DB Creations,,1,0,0,"0 .. 20,000",0,0,0,0,999,999,0,0
1411770,Redd's Runaway,BeWolf Studio,BeWolf Studio,,8,0,0,"0 .. 20,000",0,0,0,0,499,499,0,0
1443260,Endless,Sagenta,Sagenta dev,,8,3,0,"0 .. 20,000",0,0,0,0,49,99,51,0
1433930,Strong towers,ImperiumGame,ImperiumGame,,11,4,0,"0 .. 20,000",0,0,0,0,299,299,0,0
1445400,Eternal Dungeon,Salvatore Cappellino,"Mordiem Entertainment, LLC.",,16,0,0,"0 .. 20,000",0,0,0,0,199,199,0,0
1116100,BEETLES,SEKTOR GAMES,SEKTOR GAMES,,12,1,0,"0 .. 20,000",0,0,0,0,199,199,0,0
1372390,Cosmic Disco,Vasiliy Kotik,The Spiteful Games,,6,3,0,"0 .. 20,000",0,0,0,0,84,99,15,0
1441500,Traceur's Dreamlab VR,Icegrim Softworks,Icegrim Softworks,,7,1,0,"0 .. 20,000",0,0,0,0,1199,1199,0,0
1419360,Hyper Psychic Gauntlets,SpinVR.ca,SpinVR.ca,,4,0,0,"0 .. 20,000",0,0,0,0,899,899,0,0
1457500,Time Freeze,M,M,,4,0,0,"0 .. 20,000",0,0,0,0,499,499,0,0
1461000,SPACE Craft,Enoops,Enoops,,5,3,0,"0 .. 20,000",0,0,0,0,99,99,0,0
1464390,Moonlit,Eduardo Machado,Eduardo Machado,,7,2,0,"0 .. 20,000",0,0,0,0,399,399,0,0
1145950,Vector Prospector,SpinAttack Studio,SpinAttack Studio,,15,2,0,"0 .. 20,000",0,0,0,0,799,799,0,0
1438430,Ralf's Adventure: Aztec Mystery,Crimson Rays,Crimson Rays,,1,1,0,"0 .. 20,000",0,0,0,0,599,599,0,0
1404500,Dungeon Royale,YakiCL,YakiCL,,69,14,0,"0 .. 20,000",0,0,0,0,0,0,0,0
