appid,player count,name,developer,publisher,score_rank,positive,negative,userscore,owners,average_forever,average_2weeks,median_forever,median_2weeks,price,initialprice,discount,ccu
606140,0,Survived By,Human Head Studios,Digital Extremes,,774.0,482.0,0,"200,000 .. 500,000",282.0,0.0,169.0,0.0,0.0,0.0,0.0,0.0
1000360,67,Hellish Quart,Kubold,Kubold,,3999.0,310.0,0,"200,000 .. 500,000",173.0,0.0,103.0,0.0,1699.0,1699.0,0.0,53.0
1341230,0,Super Buckyball Tournament Preseason,Pathea Games,Pathea Games,,1110.0,179.0,0,"200,000 .. 500,000",156.0,0.0,227.0,0.0,0.0,0.0,0.0,2.0
98900,0,Alien Hallway,Sigma Team Inc.,Sigma Team Inc.,,181.0,112.0,0,"200,000 .. 500,000",31.0,0.0,51.0,0.0,499.0,499.0,0.0,0.0
207490,38,Rayman Origins,UBIart Montpellier,Ubisoft,,3018.0,192.0,0,"200,000 .. 500,000",259.0,1.0,216.0,1.0,1999.0,1999.0,0.0,37.0
342150,0,Games of Glory,Lightbulb Crew,"Lightbulb Crew, Firesquid",,322.0,246.0,0,"200,000 .. 500,000",808.0,0.0,37.0,0.0,0.0,0.0,0.0,0.0
485330,0,Star Drifter,"Nostalgia Hound, PiGravity",Back To Basics Gaming,,91.0,105.0,0,"200,000 .. 500,000",501.0,0.0,223.0,0.0,199.0,199.0,0.0,2.0
420560,75,Firefighting Simulator - The Squad,Chronos Unterhaltungssoftware,astragon Entertainment,,3049.0,732.0,0,"200,000 .. 500,000",846.0,0.0,1491.0,0.0,2499.0,2499.0,0.0,79.0
2360,4,Hexen: Beyond Heretic,Raven Software,id Software,,483.0,60.0,0,"200,000 .. 500,000",130.0,0.0,195.0,0.0,199.0,499.0,60.0,8.0
312150,0,Wild Warfare,Hyper Hippo Games,Hyper Hippo Games,,697.0,306.0,0,"200,000 .. 500,000",838.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0
19830,15,Tom Clancy's Rainbow Six 3 Gold,"Red Storm Entertainment, Ubisoft Montreal",Ubisoft,,1369.0,124.0,0,"200,000 .. 500,000",338.0,0.0,367.0,0.0,999.0,999.0,0.0,20.0
386880,4,Rake,Konsordo,Konsordo,,2951.0,1255.0,0,"200,000 .. 500,000",37.0,0.0,34.0,0.0,499.0,499.0,0.0,3.0
384030,26,Florensia,AHA Entertainment,Giiku Games,,408.0,219.0,0,"200,000 .. 500,000",2757.0,0.0,5484.0,0.0,0.0,0.0,0.0,33.0
1079260,77,Fireworks Mania - An Explosive Simulator,Laumania ApS,Laumania ApS,,3287.0,104.0,0,"200,000 .. 500,000",387.0,10.0,535.0,10.0,1199.0,1199.0,0.0,110.0
21980,8,Call of Juarez: Bound in Blood,Techland,Techland Publishing,,2648.0,439.0,0,"200,000 .. 500,000",174.0,0.0,179.0,0.0,999.0,999.0,0.0,13.0
277590,7,Assassin's Creed Freedom Cry,Ubisoft Montreal,Ubisoft,,1454.0,450.0,0,"200,000 .. 500,000",237.0,0.0,275.0,0.0,1499.0,1499.0,0.0,7.0
388750,6,BlazBlue: Chronophantasma Extend,Arc System Works,"H2 Interactive Co., Ltd.",,2468.0,239.0,0,"200,000 .. 500,000",464.0,0.0,249.0,0.0,2999.0,2999.0,0.0,7.0
445720,11,Battle Islands: Commanders,DR Studios,505 Games,,397.0,444.0,0,"200,000 .. 500,000",10692.0,0.0,20114.0,0.0,0.0,0.0,0.0,6.0
585550,1,FEMINAZI: The Triggering,"hyperboreanGames, Svarog Studios",Back To Basics Gaming,,989.0,240.0,0,"200,000 .. 500,000",215.0,0.0,210.0,0.0,199.0,199.0,0.0,0.0
848350,35,Katamari Damacy REROLL,MONKEYCRAFT Co. Ltd.,BANDAI NAMCO Entertainment,,3841.0,289.0,0,"200,000 .. 500,000",181.0,0.0,219.0,0.0,2999.0,2999.0,0.0,26.0
1070330,15,Russian Life Simulator,GosDev Production,"Abama Entertainment, GosDev Production",,4725.0,567.0,0,"200,000 .. 500,000",202.0,141.0,245.0,141.0,49.0,99.0,51.0,17.0
1025250,10,Shadow Corridor,KazukiShiroma,KazukiShiroma,,1276.0,138.0,0,"200,000 .. 500,000",1025.0,0.0,1506.0,0.0,639.0,799.0,20.0,30.0
651150,0,Quantum League,Nimble Giant Entertainment,Nimble Giant Entertainment,,1739.0,556.0,0,"200,000 .. 500,000",182.0,0.0,234.0,0.0,999.0,999.0,0.0,0.0
330350,0,Robotex,YFYX GAMES,YFYX GAMES,,270.0,600.0,0,"200,000 .. 500,000",130.0,0.0,145.0,0.0,499.0,499.0,0.0,0.0
412210,0,Warfront Defenders,Flying Robot Studios,Flying Robot Studios,,22.0,23.0,0,"200,000 .. 500,000",270.0,0.0,259.0,0.0,499.0,499.0,0.0,0.0
896590,10,MilMo,Dohi Sweden AB,Dohi Sweden AB,,442.0,107.0,0,"200,000 .. 500,000",0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
989440,31,Phantom Abyss,Team WIBY,Devolver Digital,,1666.0,258.0,0,"200,000 .. 500,000",590.0,0.0,630.0,0.0,1874.0,2499.0,25.0,32.0
12130,26,Manhunt,Rockstar North,Rockstar Games,,2239.0,994.0,0,"200,000 .. 500,000",313.0,0.0,404.0,0.0,349.0,999.0,65.0,29.0
45700,9,Devil May Cry 4,Capcom,Capcom,,1865.0,176.0,0,"200,000 .. 500,000",478.0,0.0,346.0,0.0,1999.0,1999.0,0.0,10.0
209190,5,Stealth Bastard Deluxe,Curve Studios,Curve Games,,935.0,117.0,0,"200,000 .. 500,000",174.0,0.0,138.0,0.0,99.0,999.0,90.0,5.0
214250,5,I Am Alive,Ubisoft  Shanghaï,Ubisoft,,1654.0,809.0,0,"200,000 .. 500,000",115.0,0.0,134.0,0.0,374.0,1499.0,75.0,8.0
438030,0,Dead6hot,Chuck Productions,New Reality Games,,211.0,260.0,0,"200,000 .. 500,000",232.0,0.0,250.0,0.0,199.0,199.0,0.0,0.0
304530,10,Agents of Mayhem,Deep Silver Volition,Deep Silver,,2609.0,1796.0,0,"200,000 .. 500,000",775.0,0.0,463.0,0.0,449.0,2999.0,85.0,13.0
1057850,5,Neon Boost,Sample Text Studio,Sample Text Studio,,2223.0,242.0,0,"200,000 .. 500,000",0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
366090,126,Colony Survival,Pipliz,Pipliz,,5604.0,530.0,0,"200,000 .. 500,000",2847.0,0.0,2811.0,0.0,1999.0,1999.0,0.0,104.0
976800,0,九劫曲：诅咒之地 NINE TRIALS,爱玩工作室,爱玩工作室,,1996.0,1325.0,0,"200,000 .. 500,000",563.0,0.0,286.0,0.0,0.0,0.0,0.0,1.0
1469330,0,Unlimited Fight,"Erasmo Cândido Mutemba, Dilto João Banze, Osvaldo Dos Santos Cândido Mutemba",Metal Frontline Game Studio,,3.0,1.0,0,"200,000 .. 500,000",0.0,0.0,0.0,0.0,99.0,99.0,0.0,0.0
9180,1,Commander Keen,id Software,id Software,,1213.0,87.0,0,"200,000 .. 500,000",26.0,0.0,31.0,0.0,499.0,499.0,0.0,2.0
232750,6,Mars: War Logs,Spiders,Focus Entertainment,,1867.0,635.0,0,"200,000 .. 500,000",287.0,0.0,261.0,0.0,99.0,499.0,80.0,7.0
373180,0,Kung Fury: Street Rage,Hello There Games,"Hello There Games, Aurora Punks",,2187.0,239.0,0,"200,000 .. 500,000",92.0,0.0,112.0,0.0,0.0,0.0,0.0,1.0
1069740,6,Seen,Seen Games,Seen Games,,7212.0,567.0,0,"200,000 .. 500,000",172.0,176.0,183.0,176.0,299.0,299.0,0.0,10.0
1146630,1,Yokai's Secret,Double W,Toffee Cafe,,5804.0,599.0,0,"200,000 .. 500,000",1582.0,0.0,82.0,0.0,199.0,199.0,0.0,9.0
323220,61,Vagante,Nuke Nine,Nuke Nine,,3555.0,404.0,0,"200,000 .. 500,000",661.0,0.0,545.0,0.0,1499.0,1499.0,0.0,64.0
457420,2,Surgeon Simulator VR: Meet The Medic,Bossa Studios,Bossa Studios,,304.0,111.0,0,"200,000 .. 500,000",400.0,6.0,13.0,6.0,0.0,0.0,0.0,3.0
63700,0,BIT.TRIP BEAT,Gaijin Games,Gaijin Games,,673.0,163.0,0,"200,000 .. 500,000",90.0,0.0,88.0,0.0,599.0,599.0,0.0,0.0
