appid,player count,name,developer,publisher,score_rank,positive,negative,userscore,owners,average_forever,average_2weeks,median_forever,median_2weeks,price,initialprice,discount,ccu,Final Price_$,Initial Price_$,Discount_$,Total Score, Mark ,Tier
570,368142,Dota 2,Valve,Valve,,1522243,314225,0,"200,000,000 .. 500,000,000",38004,1697,752,953,0,0,0,624634,9.53,0,0,1836468,83,A
730,378812,Counter-Strike: Global Offensive,"Valve, Hidden Path Entertainment",Valve,,5926012,785171,0,"50,000,000 .. 100,000,000",30075,775,6864,264,0,0,0,747905,2.64,0,0,6711183,88,B
578080,67089,PUBG: BATTLEGROUNDS,"KRAFTON, Inc.","KRAFTON, Inc.",,1182394,907360,0,"50,000,000 .. 100,000,000",22155,781,6470,222,0,0,0,256666,2.22,0,0,2089754,57,B
1063730,40836,New World,Amazon Games,Amazon Games,,161467,74422,0,"50,000,000 .. 100,000,000",6872,490,3537,94,3999,3999,0,52597,0.94,39.99,39.99,235889,68,B
440,97140,Team Fortress 2,Valve,Valve,,844446,57326,0,"50,000,000 .. 100,000,000",8822,694,338,104,0,0,0,97510,1.04,0,0,901772,94,B
271590,50354,Grand Theft Auto V,Rockstar North,Rockstar Games,,1223705,213100,0,"20,000,000 .. 50,000,000",12471,599,5967,186,1480,1480,0,97247,1.86,14.8,14.8,1436805,85,C
304930,23740,Unturned,Smartly Dressed Games,Smartly Dressed Games,,450842,42037,0,"20,000,000 .. 50,000,000",6982,3056,331,829,0,0,0,58103,8.29,0,0,492879,91,C
550,12024,Left 4 Dead 2,Valve,Valve,,641627,16760,0,"20,000,000 .. 50,000,000",1997,137,531,61,999,999,0,14782,0.61,9.99,9.99,658387,97,C
105600,38726,Terraria,Re-Logic,Re-Logic,,1008971,22198,0,"20,000,000 .. 50,000,000",6422,975,1503,434,999,999,0,55024,4.34,9.99,9.99,1031169,98,C
230410,20047,Warframe,Digital Extremes,Digital Extremes,,448052,67961,0,"20,000,000 .. 50,000,000",9151,1355,408,387,0,0,0,36227,3.87,0,0,516013,87,C
252490,71468,Rust,Facepunch Studios,Facepunch Studios,,728823,111648,0,"20,000,000 .. 50,000,000",20162,1394,3417,720,2679,3999,33,80990,7.2,26.79,39.99,840471,87,C
1172470,67980,Apex Legends,Respawn Entertainment,Electronic Arts,,447669,75176,0,"20,000,000 .. 50,000,000",6698,737,745,309,0,0,0,186756,3.09,0,0,522845,86,C
1599340,162724,Lost Ark,Smilegate RPG,Amazon Games,,128376,45481,0,"20,000,000 .. 50,000,000",2927,1598,673,499,0,0,0,210671,4.99,0,0,173857,74,C
1245620,19831,ELDEN RING,FromSoftware Inc.,"FromSoftware Inc., Bandai Namco Entertainment",,487712,52068,0,"20,000,000 .. 50,000,000",5701,396,4846,198,5999,5999,0,26592,1.98,59.99,59.99,539780,90,C
236390,31519,War Thunder,Gaijin Entertainment,Gaijin Distribution KFT,,265135,72898,0,"20,000,000 .. 50,000,000",7112,780,431,255,0,0,0,51414,2.55,0,0,338033,78,C
359550,21234,Tom Clancy's Rainbow Six Siege,Ubisoft Montreal,Ubisoft,,942045,142906,0,"20,000,000 .. 50,000,000",12813,564,2376,165,1999,1999,0,29169,1.65,19.99,19.99,1084951,87,C
340,8,Half-Life 2: Lost Coast,Valve,Valve,,9546,1275,0,"20,000,000 .. 50,000,000",143,0,21,0,0,0,0,18,0,0,0,10821,88,C
238960,6926,Path of Exile,Grinding Gear Games,Grinding Gear Games,,167854,24783,0,"20,000,000 .. 50,000,000",7685,2010,323,1710,0,0,0,10624,17.1,0,0,192637,87,C
892970,11404,Valheim,Iron Gate AB,Coffee Stain Publishing,,345032,17603,0,"20,000,000 .. 50,000,000",3228,650,1480,358,1999,1999,0,15568,3.58,19.99,19.99,362635,95,C
1085660,53207,Destiny 2,Bungie,Bungie,,418998,81451,0,"20,000,000 .. 50,000,000",9047,1353,407,402,0,0,0,66747,4.02,0,0,500449,84,C
218620,29192,PAYDAY 2,OVERKILL - a Starbreeze Studio.,Starbreeze Publishing AB,,531055,63061,0,"20,000,000 .. 50,000,000",5431,2047,592,237,499,999,50,39039,2.37,4.99,9.99,594116,89,C
1097150,3936,Fall Guys: Ultimate Knockout,Mediatonic,Ravenscourt,,382327,88012,0,"20,000,000 .. 50,000,000",1211,168,574,68,0,0,0,4761,0.68,0,0,470339,81,C
901583,3936,Grand Theft Auto IV: Complete Edition,"Rockstar North, Rockstar Toronto",Rockstar Games,,88400,24849,0,"10,000,000 .. 20,000,000",0,0,0,0,0,0,0,0,0,0,0,113249,78,D
1468810,1348,鬼谷八荒 Tale of Immortal,鬼谷工作室,"鬼谷工作室, Lightning Games",,106542,105252,0,"10,000,000 .. 20,000,000",2995,1270,1859,1151,1999,1999,0,8863,11.51,19.99,19.99,211794,50,D
444090,4119,Paladins,Evil Mojo Games,Hi-Rez Studios,,283428,48230,0,"10,000,000 .. 20,000,000",2736,1421,476,204,0,0,0,5466,2.04,0,0,331658,85,D
1240440,3592,Halo Infinite,343 Industries,Xbox Game Studios,,106484,43822,0,"10,000,000 .. 20,000,000",866,634,148,901,0,0,0,4677,9.01,0,0,150306,71,D
291480,641,Warface,MY.GAMES,MY.GAMES,,53453,25697,0,"10,000,000 .. 20,000,000",1282,2218,125,3181,0,0,0,1971,31.81,0,0,79150,68,D
10,6469,Counter-Strike,Valve,Valve,,200935,5186,0,"10,000,000 .. 20,000,000",12004,385,223,358,999,999,0,11736,3.58,9.99,9.99,206121,97,D
49520,2189,Borderlands 2,"Gearbox Software, Aspyr (Mac), Aspyr (Linux)","2K, Aspyr (Mac), Aspyr (Linux)",,250236,16744,0,"10,000,000 .. 20,000,000",2798,171,999,156,1999,1999,0,2678,1.56,19.99,19.99,266980,94,D
242760,9717,The Forest,Endnight Games Ltd,Endnight Games Ltd,,388151,19394,0,"10,000,000 .. 20,000,000",1604,210,910,213,499,1999,75,6508,2.13,4.99,19.99,407545,95,D
227940,976,Heroes & Generals,TLM Partners,TLM Partners,,94056,46620,0,"10,000,000 .. 20,000,000",997,79,88,112,0,0,0,2120,1.12,0,0,140676,67,D
381210,35543,Dead by Daylight,Behaviour Interactive Inc.,Behaviour Interactive Inc.,,507417,116006,0,"10,000,000 .. 20,000,000",9734,626,1411,139,799,1999,60,46089,1.39,7.99,19.99,623423,81,D
346110,34477,ARK: Survival Evolved,"Studio Wildcard, Instinct Games, Efecto Studios, Virtual Basement LLC",Studio Wildcard,,479364,101131,0,"10,000,000 .. 20,000,000",10066,1303,866,971,1999,1999,0,55689,9.71,19.99,19.99,580495,83,D
252950,27941,Rocket League,Psyonix LLC,Psyonix LLC,,496188,62998,0,"10,000,000 .. 20,000,000",15186,430,2633,258,0,0,0,36234,2.58,0,0,559186,89,D
320,130,Half-Life 2: Deathmatch,Valve,Valve,,9925,1069,0,"10,000,000 .. 20,000,000",514,0,40,0,499,499,0,147,0,4.99,4.99,10994,90,D
620,1168,Portal 2,Valve,Valve,,304923,3754,0,"10,000,000 .. 20,000,000",906,267,518,396,999,999,0,1632,3.96,9.99,9.99,308677,99,D
552990,3111,World of Warships,Wargaming Group Limited,Wargaming Group Limited,,88157,21307,0,"10,000,000 .. 20,000,000",1966,201,181,175,0,0,0,6875,1.75,0,0,109464,81,D
739630,12215,Phasmophobia,Kinetic Games,Kinetic Games,,471446,15333,0,"10,000,000 .. 20,000,000",1663,162,792,107,1119,1399,20,17577,1.07,11.19,13.99,486779,97,D
755790,151,Ring of Elysium,Aurora Studio,TCH Scarlet Limited,,74509,25757,0,"10,000,000 .. 20,000,000",905,8,102,15,0,0,0,343,0.15,0,0,100266,74,D
301520,182,Robocraft,Freejam,Freejam,,86138,32443,0,"10,000,000 .. 20,000,000",1300,0,186,0,0,0,0,241,0,0,0,118581,73,D
550650,489,Black Squad,"VALOFE, NS STUDIO",VALOFE,,60510,18828,0,"10,000,000 .. 20,000,000",2033,234,56,239,0,0,0,863,2.39,0,0,79338,76,D
386360,5830,SMITE,Titan Forge Games,Hi-Rez Studios,,82996,20901,0,"10,000,000 .. 20,000,000",5078,758,183,1039,0,0,0,13276,10.39,0,0,103897,80,D
240,2352,Counter-Strike: Source,Valve,Valve,,137457,5438,0,"10,000,000 .. 20,000,000",10769,1303,580,146,999,999,0,4192,1.46,9.99,9.99,142895,96,D
291550,11008,Brawlhalla,Blue Mammoth Games,Ubisoft,,253429,48464,0,"10,000,000 .. 20,000,000",1931,163,179,75,0,0,0,11581,0.75,0,0,301893,84,D
582010,3964,Monster Hunter: World,"CAPCOM Co., Ltd.","CAPCOM Co., Ltd.",,312785,52104,0,"10,000,000 .. 20,000,000",8821,409,3115,368,2999,2999,0,12313,3.68,29.99,29.99,364889,86,D
433850,50,Z1 Battle Royale,Daybreak Game Company,Daybreak Game Company,,115286,92550,0,"10,000,000 .. 20,000,000",3289,36,127,36,0,0,0,86,0.36,0,0,207836,55,D
444200,4719,World of Tanks Blitz,Wargaming Group Limited,Wargaming Group Limited,,97568,23950,0,"10,000,000 .. 20,000,000",4547,1153,162,163,0,0,0,18706,1.63,0,0,121518,80,D
400,342,Portal,Valve,Valve,,111442,1748,0,"10,000,000 .. 20,000,000",348,96,179,96,999,999,0,365,0.96,9.99,9.99,113190,98,D
417910,0,Street Warriors Online,Crazy Rocks Studios,Crazy Rocks Studios,,965,705,0,"10,000,000 .. 20,000,000",104,0,61,0,199,199,0,1,0,1.99,1.99,1670,58,D
1517290,3094,Battlefield 2042,DICE,Electronic Arts,,44675,109078,0,"10,000,000 .. 20,000,000",2319,489,1575,589,5999,5999,0,5462,5.89,59.99,59.99,153753,-71,D
304050,1162,Trove,gamigo US Inc.,gamigo US Inc.,,71074,17050,0,"10,000,000 .. 20,000,000",3756,972,170,1907,0,0,0,1463,19.07,0,0,88124,81,D
261550,26226,Mount & Blade II: Bannerlord,TaleWorlds Entertainment,TaleWorlds Entertainment,,173937,24778,0,"10,000,000 .. 20,000,000",5970,518,3685,377,3999,4999,20,30686,3.77,39.99,49.99,198715,88,D
70,370,Half-Life,Valve,Valve,,75679,2694,0,"10,000,000 .. 20,000,000",758,43,169,43,999,999,0,450,0.43,9.99,9.99,78373,97,D
130,25,Half-Life: Blue Shift,Gearbox Software,Valve,,10601,996,0,"5,000,000 .. 10,000,000",473,1,88,1,499,499,0,27,0.01,4.99,4.99,11597,91,E
220,534,Half-Life 2,Valve,Valve,,146002,3775,0,"5,000,000 .. 10,000,000",838,51,369,70,999,999,0,651,0.7,9.99,9.99,149777,97,E
251570,16792,7 Days to Die,The Fun Pimps,The Fun Pimps Entertainment LLC,,205822,27170,0,"5,000,000 .. 10,000,000",5022,859,1354,626,749,2499,70,21806,6.26,7.49,24.99,232992,88,E
218230,1245,PlanetSide 2,Rogue Planet Games,Daybreak Game Company,,55471,12344,0,"5,000,000 .. 10,000,000",1089,111,148,147,0,0,0,1624,1.47,0,0,67815,82,E
239140,3038,Dying Light,Techland,Techland,,326679,17039,0,"5,000,000 .. 10,000,000",2100,210,1280,157,999,4999,80,3987,1.57,9.99,49.99,343718,95,E
275390,14,Guacamelee! Super Turbo Championship Edition,DrinkBox Studios,DrinkBox Studios,,5572,454,0,"5,000,000 .. 10,000,000",209,0,95,0,1499,1499,0,14,0,14.99,14.99,6026,92,E
80,266,Counter-Strike: Condition Zero,Valve,Valve,,19597,1895,0,"5,000,000 .. 10,000,000",1322,4,35,5,999,999,0,396,0.05,9.99,9.99,21492,91,E
367520,3721,Hollow Knight,Team Cherry,Team Cherry,,244027,7120,0,"5,000,000 .. 10,000,000",1561,108,413,198,749,1499,50,4064,1.98,7.49,14.99,251147,97,E
224260,274,No More Room in Hell,No More Room in Hell Team,Lever Games,,59397,6768,0,"5,000,000 .. 10,000,000",680,71,105,71,0,0,0,512,0.71,0,0,66165,90,E
275850,7911,No Man's Sky,Hello Games,Hello Games,,190848,58003,0,"5,000,000 .. 10,000,000",2788,678,1245,498,5999,5999,0,10801,4.98,59.99,59.99,248851,77,E
489520,610,Minion Masters,BetaDwarf,BetaDwarf,,54008,5177,0,"5,000,000 .. 10,000,000",2068,64,156,64,0,0,0,942,0.64,0,0,59185,91,E
466240,272,Deceit,World Makers,World Makers,,66505,17722,0,"5,000,000 .. 10,000,000",573,4229,93,8441,0,0,0,703,84.41,0,0,84227,79,E
814380,1607,Sekiro: Shadows Die Twice - GOTY Edition,FromSoftware,"Activision (Excluding Japan and Asia), FromSoftware (Japan), 方块游戏 (Asia)",,190661,9771,0,"5,000,000 .. 10,000,000",2071,115,1156,140,5999,5999,0,4718,1.4,59.99,59.99,200432,95,E
203160,404,Tomb Raider,"Crystal Dynamics, Eidos-Montréal, Feral Interactive (Mac), Nixxes","Square Enix, Feral Interactive (Mac)",,207990,8251,0,"5,000,000 .. 10,000,000",697,1002,381,1004,374,1499,75,653,10.04,3.74,14.99,216241,96,E
204360,318,Castle Crashers,The Behemoth,The Behemoth,,90681,3505,0,"5,000,000 .. 10,000,000",576,98,300,138,1499,1499,0,328,1.38,14.99,14.99,94186,96,E
1203220,6461,NARAKA: BLADEPOINT,24 Entertainment,NetEase Games Montréal,,101290,28791,0,"5,000,000 .. 10,000,000",9096,710,2036,340,1999,1999,0,68169,3.4,19.99,19.99,130081,78,E
333930,72,Dirty Bomb,Splash Damage,Warchest Ltd.,,47124,10877,0,"5,000,000 .. 10,000,000",419,0,75,0,0,0,0,113,0,0,0,58001,81,E
219990,2325,Grim Dawn,Crate Entertainment,Crate Entertainment,,73593,5106,0,"5,000,000 .. 10,000,000",3846,147,1037,186,749,2499,70,2958,1.86,7.49,24.99,78699,94,E
632360,5690,Risk of Rain 2,Hopoo Games,Gearbox Publishing,,205982,7623,0,"5,000,000 .. 10,000,000",3021,462,1159,177,2499,2499,0,6678,1.77,24.99,24.99,213605,96,E
1174180,13203,Red Dead Redemption 2,Rockstar Games,Rockstar Games,,271867,33687,0,"5,000,000 .. 10,000,000",4392,396,2536,164,2999,5999,50,23724,1.64,29.99,59.99,305554,89,E
107410,10172,Arma 3,Bohemia Interactive,Bohemia Interactive,,209536,22242,0,"5,000,000 .. 10,000,000",13914,683,1107,208,749,2999,75,12637,2.08,7.49,29.99,231778,90,E
360,8,Half-Life Deathmatch: Source,Valve,Valve,,2488,847,0,"5,000,000 .. 10,000,000",46,0,17,0,999,999,0,8,0,9.99,9.99,3335,75,E
365590,359,Tom Clancy’s The Division,Massive Entertainment,Ubisoft,,60145,26736,0,"5,000,000 .. 10,000,000",3767,23,1505,23,2999,2999,0,745,0.23,29.99,29.99,86881,69,E
273110,254,Counter-Strike Nexon: Studio,"Valve Corporation, Nexon Korea Corporation",Nexon Korea Corporation,,26697,13595,0,"5,000,000 .. 10,000,000",1575,0,65,0,0,0,0,510,0,0,0,40292,66,E
40,1,Deathmatch Classic,Valve,Valve,,1960,436,0,"5,000,000 .. 10,000,000",47,0,8,0,499,499,0,3,0,4.99,4.99,2396,82,E
10180,465,Call of Duty: Modern Warfare 2 (2009),Infinity Ward,Activision,,45185,3303,0,"5,000,000 .. 10,000,000",1054,230,466,317,1999,1999,0,690,3.17,19.99,19.99,48488,93,E
374320,2679,DARK SOULS III,"FromSoftware, Inc.","FromSoftware, Inc., Bandai Namco Entertainment",,316647,20370,0,"5,000,000 .. 10,000,000",4465,535,1930,738,5999,5999,0,4441,7.38,59.99,59.99,337017,94,E
387990,1117,Scrap Mechanic,Axolot Games,Axolot Games,,85490,6582,0,"5,000,000 .. 10,000,000",2744,72,638,140,1999,1999,0,2227,1.4,19.99,19.99,92072,93,E
250900,10210,The Binding of Isaac: Rebirth,"Nicalis, Inc., Edmund McMillen","Nicalis, Inc.",,209621,4972,0,"5,000,000 .. 10,000,000",10298,547,3537,438,1499,1499,0,14442,4.38,14.99,14.99,214593,98,E
844870,92,KurtzPel,KOG,KOG,,21569,13061,0,"5,000,000 .. 10,000,000",1996,0,86,0,0,0,0,185,0,0,0,34630,62,E
221100,30141,DayZ,Bohemia Interactive,Bohemia Interactive,,229641,90139,0,"5,000,000 .. 10,000,000",11507,1548,2273,259,2699,4499,40,41635,2.59,26.99,44.99,319780,72,E
582660,14771,Black Desert,Pearl Abyss,Pearl Abyss,,45345,15005,0,"5,000,000 .. 10,000,000",6155,1491,300,1027,299,999,70,18158,10.27,2.99,9.99,60350,75,E
700330,1520,SCP: Secret Laboratory,Northwood Studios,Northwood Studios,,133472,12371,0,"5,000,000 .. 10,000,000",1165,159,74,191,0,0,0,3135,1.91,0,0,145843,92,E
273350,734,Evolve Stage 2,Turtle Rock Studios,2K,,33569,14684,0,"5,000,000 .. 10,000,000",366,0,145,0,0,0,0,106,0,0,0,48253,70,E
322170,8948,Geometry Dash,RobTop Games,RobTop Games,,195308,13532,0,"5,000,000 .. 10,000,000",3934,212,367,25,399,399,0,10306,0.25,3.99,3.99,208840,94,E
30,80,Day of Defeat,Valve,Valve,,5243,567,0,"5,000,000 .. 10,000,000",249,40,22,40,499,499,0,135,0.4,4.99,4.99,5810,90,E
976730,2961,Halo: The Master Chief Collection,"343 Industries, Splash Damage, Ruffian Games, Bungie, Saber Interactive",Xbox Game Studios,,180949,14113,0,"5,000,000 .. 10,000,000",2025,330,746,225,3999,3999,0,3699,2.25,39.99,39.99,195062,93,E
253710,1079,theHunter Classic,"Expansive Worlds, Avalanche Studios","Expansive Worlds, Avalanche Studios",,20879,17019,0,"5,000,000 .. 10,000,000",1466,2011,37,2011,0,0,0,1005,20.11,0,0,37898,55,E
219640,66,Chivalry: Medieval Warfare,Torn Banner Studios,Torn Banner Studios,,54669,11649,0,"5,000,000 .. 10,000,000",835,0,262,0,2499,2499,0,88,0,24.99,24.99,66318,82,E
319630,174,Life is Strange - Episode 1,"DONTNOD Entertainment, Feral Interactive (Mac), Feral Interactive (Linux)","Square Enix, Feral interactive (Mac), Feral Interactive (Linux)",,151881,6124,0,"5,000,000 .. 10,000,000",490,3,156,3,0,0,0,253,0.03,0,0,158005,96,E
594570,4408,Total War: WARHAMMER II,"CREATIVE ASSEMBLY, Feral Interactive (Mac), Feral Interactive (Linux)","SEGA, Feral Interactive (Mac), Feral Interactive (Linux)",,109277,8282,0,"5,000,000 .. 10,000,000",14885,1202,4154,1059,5999,5999,0,6617,10.59,59.99,59.99,117559,93,E
12120,420,Grand Theft Auto: San Andreas,Rockstar Games,Rockstar Games,,70672,6462,0,"5,000,000 .. 10,000,000",1695,576,268,863,0,0,0,655,8.63,0,0,77134,92,E
1172620,5296,Sea of Thieves,Rare Ltd,Xbox Game Studios,,222868,24043,0,"5,000,000 .. 10,000,000",3143,269,1157,262,3999,3999,0,8306,2.62,39.99,39.99,246911,90,E
109600,734,Neverwinter,Cryptic Studios,Gearbox Publishing,,27158,7892,0,"5,000,000 .. 10,000,000",2340,132,331,132,0,0,0,942,1.32,0,0,35050,77,E
50,69,Half-Life: Opposing Force,Gearbox Software,Valve,,14841,754,0,"5,000,000 .. 10,000,000",782,0,200,0,499,499,0,70,0,4.99,4.99,15595,95,E
238460,95,BattleBlock Theater,The Behemoth,The Behemoth,,64375,1816,0,"5,000,000 .. 10,000,000",562,109,297,110,1499,1499,0,139,1.1,14.99,14.99,66191,97,E
1145360,3814,Hades,Supergiant Games,Supergiant Games,,198985,2798,0,"5,000,000 .. 10,000,000",1817,124,1028,75,1499,2499,40,4137,0.75,14.99,24.99,201783,99,E
863550,476,HITMAN 2,IO Interactive A/S,IO Interactive A/S,,63669,6078,0,"5,000,000 .. 10,000,000",770,616,327,616,9999,9999,0,1238,6.16,99.99,99.99,69747,91,E
1446780,5288,MONSTER HUNTER RISE,"CAPCOM Co., Ltd.","CAPCOM Co., Ltd.",,44733,7173,0,"5,000,000 .. 10,000,000",5667,380,3539,343,3999,3999,0,14053,3.43,39.99,39.99,51906,86,E
300,294,Day of Defeat: Source,Valve,Valve,,16714,1603,0,"5,000,000 .. 10,000,000",988,628,143,631,999,999,0,420,6.31,9.99,9.99,18317,91,E
555570,180,Infestation: The New Z,Fredaikis AB,OP Productions LLC,,17615,15518,0,"5,000,000 .. 10,000,000",1852,4356,75,4356,0,0,0,599,43.56,0,0,33133,53,E
883710,1992,Resident Evil 2,"CAPCOM Co., Ltd.","CAPCOM Co., Ltd.",,111188,3274,0,"5,000,000 .. 10,000,000",1130,145,614,170,1199,3999,70,2680,1.7,11.99,39.99,114462,97,E
225840,275,Sven Co-op,Sven Co-op team,Sven Co-op team,,23925,1686,0,"5,000,000 .. 10,000,000",375,152,80,163,0,0,0,309,1.63,0,0,25611,93,E
2630,192,Call of Duty 2,Infinity Ward,Activision,,6641,464,0,"5,000,000 .. 10,000,000",753,0,192,0,1999,1999,0,220,0,19.99,19.99,7105,93,E
232770,8,POSTAL,Running With Scissors,Running With Scissors,,5154,743,0,"5,000,000 .. 10,000,000",199,0,241,0,1997,1997,0,17,0,19.97,19.97,5897,87,E
8870,245,BioShock Infinite,"Irrational Games, Virtual Programming (Linux)",2K,,120477,7727,0,"5,000,000 .. 10,000,000",779,97,556,97,2999,2999,0,326,0.97,29.99,29.99,128204,94,E
677620,699,Splitgate: Arena Warfare,1047 Games,1047 Games,,97431,9026,0,"5,000,000 .. 10,000,000",443,71,200,112,0,0,0,832,1.12,0,0,106457,92,E
306130,11984,The Elder Scrolls Online,ZeniMax Online Studios,Bethesda Softworks,,102548,22551,0,"5,000,000 .. 10,000,000",8741,2084,1317,2486,1999,1999,0,15360,24.86,19.99,19.99,125099,82,E
20,74,Team Fortress Classic,Valve,Valve,,5817,931,0,"5,000,000 .. 10,000,000",62,0,12,0,499,499,0,71,0,4.99,4.99,6748,86,E
208090,0,Loadout,Edge of Reality,Edge of Reality,,34588,5248,0,"5,000,000 .. 10,000,000",350,0,157,0,0,0,0,2,0,0,0,39836,87,E
311210,3138,Call of Duty: Black Ops III,"Treyarch, Aspyr (Mac)","Activision, Aspyr (Mac)",,119525,28154,0,"5,000,000 .. 10,000,000",3650,279,1649,258,5999,5999,0,3592,2.58,59.99,59.99,147679,81,E
22380,4981,Fallout: New Vegas,Obsidian Entertainment,Bethesda Softworks,,161048,5944,0,"5,000,000 .. 10,000,000",4040,507,1237,646,999,999,0,5714,6.46,9.99,9.99,166992,96,E
420,105,Half-Life 2: Episode Two,Valve,Valve,,29899,932,0,"5,000,000 .. 10,000,000",384,0,266,0,799,799,0,139,0,7.99,7.99,30831,97,E
113400,190,APB Reloaded,Reloaded Productions,Little Orbit,,22835,13093,0,"5,000,000 .. 10,000,000",1156,0,174,0,0,0,0,227,0,0,0,35928,64,E
339610,173,Freestyle 2: Street Basketball,JOYCITY,JOYCITY,,8689,3193,0,"5,000,000 .. 10,000,000",1862,0,76,0,0,0,0,348,0,0,0,11882,73,E
12210,1173,Grand Theft Auto IV: The Complete Edition,"Rockstar North, Rockstar Toronto",Rockstar Games,,88424,24848,0,"5,000,000 .. 10,000,000",1651,205,735,302,1999,1999,0,1662,3.02,19.99,19.99,113272,78,E
629760,2474,MORDHAU,Triternion,Triternion,,83835,19665,0,"5,000,000 .. 10,000,000",3204,796,851,249,2999,2999,0,2107,2.49,29.99,29.99,103500,81,E
407530,14,ARK: Survival Of The Fittest,"Studio Wildcard, Instinct Games, Efecto Studios, Virtual Basement LLC",Studio Wildcard,,6191,3580,0,"5,000,000 .. 10,000,000",211,0,15,0,1999,1999,0,33,0,19.99,19.99,9771,63,E
304390,2913,FOR HONOR,"Ubisoft Montreal, Ubisoft Quebec, Ubisoft Toronto, Blue Byte",Ubisoft,,83852,38329,0,"2,000,000 .. 5,000,000",1941,286,672,193,1499,1499,0,3400,1.93,14.99,14.99,122181,69,F
1250,206,Killing Floor,Tripwire Interactive,Tripwire Interactive,,60641,3215,0,"2,000,000 .. 5,000,000",1715,19,293,19,499,1999,75,303,0.19,4.99,19.99,63856,95,F
356190,2502,Middle-earth: Shadow of War,Monolith Productions,WB Games,,70491,10143,0,"2,000,000 .. 5,000,000",2116,389,1260,518,4999,4999,0,3898,5.18,49.99,49.99,80634,87,F
594650,17284,Hunt: Showdown,Crytek,Crytek,,117875,24231,0,"2,000,000 .. 5,000,000",5829,731,877,294,1999,3999,50,19740,2.94,19.99,39.99,142106,83,F
6060,214,"Star Wars: Battlefront 2 (Classic, 2005)",Pandemic Studios,"Lucasfilm, LucasArts, Disney",,45464,2781,0,"2,000,000 .. 5,000,000",579,0,202,0,999,999,0,249,0,9.99,9.99,48245,94,F
265630,60,Fistful of Frags,Fistful of Frags Team,Fistful of Frags Team,,30956,2937,0,"2,000,000 .. 5,000,000",350,132,94,132,0,0,0,100,1.32,0,0,33893,91,F
588650,909,Dead Cells,Motion Twin,Motion Twin,,110475,3416,0,"2,000,000 .. 5,000,000",1696,129,905,148,2499,2499,0,1928,1.48,24.99,24.99,113891,97,F
206420,165,Saints Row IV,Deep Silver Volition,Deep Silver,,66920,7195,0,"2,000,000 .. 5,000,000",1334,323,787,323,1499,1499,0,259,3.23,14.99,14.99,74115,90,F
379720,745,DOOM,id Software,Bethesda Softworks,,162632,8027,0,"2,000,000 .. 5,000,000",845,123,537,201,499,1999,75,701,2.01,4.99,19.99,170659,95,F
211820,1413,Starbound,Chucklefish,Chucklefish,,146949,11497,0,"2,000,000 .. 5,000,000",3989,827,1590,1236,1499,1499,0,1772,12.36,14.99,14.99,158446,93,F
280790,138,Creativerse,Playful Corp.,Playful Corp.,,23991,5733,0,"2,000,000 .. 5,000,000",570,12,108,12,0,0,0,190,0.12,0,0,29724,81,F
238320,599,Outlast,Red Barrels,Red Barrels,,86412,3323,0,"2,000,000 .. 5,000,000",289,17,192,27,299,1999,85,364,0.27,2.99,19.99,89735,96,F
55230,168,Saints Row: The Third,Volition,Deep Silver,,63311,2709,0,"2,000,000 .. 5,000,000",1648,7,972,7,999,999,0,242,0.07,9.99,9.99,66020,96,F
48700,2601,Mount & Blade: Warband,TaleWorlds Entertainment,TaleWorlds Entertainment,,142347,3294,0,"2,000,000 .. 5,000,000",8558,786,3252,1105,499,1999,75,4733,11.05,4.99,19.99,145641,98,F
223710,172,Cry of Fear,Team Psykskallar,Team Psykskallar,,36543,5830,0,"2,000,000 .. 5,000,000",161,145,49,222,0,0,0,210,2.22,0,0,42373,86,F
8190,104,Just Cause 2,Avalanche Studios,Square Enix,,44151,4430,0,"2,000,000 .. 5,000,000",784,31,191,31,1499,1499,0,140,0.31,14.99,14.99,48581,91,F
500,340,Left 4 Dead,Valve,Valve,,41480,1660,0,"2,000,000 .. 5,000,000",1504,21,185,21,999,999,0,421,0.21,9.99,9.99,43140,96,F
355840,2,Survarium,Vostok Games,Vostok Games,,14004,11987,0,"2,000,000 .. 5,000,000",1760,0,50,0,0,0,0,2,0,0,0,25991,54,F
42910,38,Magicka,Arrowhead Game Studios,Paradox Interactive,,25353,3262,0,"2,000,000 .. 5,000,000",627,189,287,189,999,999,0,61,1.89,9.99,9.99,28615,89,F
1818750,2864,MultiVersus,Player First Games,Warner Bros. Games,,70961,9936,0,"2,000,000 .. 5,000,000",449,60,158,77,0,0,0,3346,0.77,0,0,80897,88,F
630,55,Alien Swarm,Valve,Valve,,19302,1047,0,"2,000,000 .. 5,000,000",429,0,109,0,0,0,0,61,0,0,0,20349,95,F
1426210,709,It Takes Two,Hazelight,Electronic Arts,,98390,4102,0,"2,000,000 .. 5,000,000",972,199,821,212,3999,3999,0,3949,2.12,39.99,39.99,102492,96,F
504370,109,Battlerite,Stunlock Studios,Stunlock Studios,,49317,9111,0,"2,000,000 .. 5,000,000",920,229,163,229,0,0,0,179,2.29,0,0,58428,84,F
779340,1865,Total War: THREE KINGDOMS,"CREATIVE ASSEMBLY, Feral Interactive (Mac), Feral Interactive (Linux)","SEGA, Feral Interactive (Mac), Feral Interactive (Linux)",,65453,26907,0,"2,000,000 .. 5,000,000",6175,424,2382,299,5999,5999,0,6150,2.99,59.99,59.99,92360,71,F
