appid,player count,name,developer,publisher,score_rank,positive,negative,userscore,owners,average_forever,average_2weeks,median_forever,median_2weeks,price,initialprice,discount,ccu,Final Price_$,Initial Price_$,Discount_$,Total Score, Mark ,Tier
500360,0,VRMultigames,Mad Triangles,Mad Triangles,,62,19,0,"20,000 .. 50,000",10869,0,10869,0,0,0,0,0,0,0,0,81,77,L
508950,0,Beerman,Lee Davidson,Lee Davidson,,32,20,0,"20,000 .. 50,000",327,0,327,0,199,199,0,0,0,1.99,1.99,52,62,L
520250,0,Visitors,Black Side,Black Side,,37,36,0,"20,000 .. 50,000",30,0,30,0,499,499,0,0,0,4.99,4.99,73,51,L
546090,0,Trip to Vinelands,Walter Machado,Walter Machado,,173,22,0,"20,000 .. 50,000",94,0,97,0,49,99,51,1,0,0.49,0.99,195,89,L
551080,3,Rescue your chickens,Mihai Morosanu,Mihai Morosanu,,88,36,0,"20,000 .. 50,000",207,0,235,0,51,99,48,37,0,0.51,0.99,124,71,L
556740,0,LEGRAND LEGACY: Tale of the Fatebounds,SEMISOFT,"Another Indie, Mayflower Entertainment [KR]",,289,126,0,"20,000 .. 50,000",262,0,365,0,779,1999,61,1,0,7.79,19.99,415,70,L
586310,0,Gunman Taco Truck,Romero Games Ltd.,Romero Games Ltd.,,171,41,0,"20,000 .. 50,000",0,0,0,0,299,299,0,0,0,2.99,2.99,212,81,L
576480,0,Drunken Fight Simulator,Volens Nolens Games,Volens Nolens Games,,132,51,0,"20,000 .. 50,000",231,0,259,0,399,399,0,1,0,3.99,3.99,183,72,L
590690,1,Sprint Vector,Survios,Survios,,564,103,0,"20,000 .. 50,000",30,0,30,0,2999,2999,0,0,0,29.99,29.99,667,85,L
663300,0,Enlightenment,LizardKing,LizardKing,,298,158,0,"20,000 .. 50,000",696,0,696,0,1199,1199,0,0,0,11.99,11.99,456,65,L
663100,0,Thrust & Shoot : Flight School,Hellride Games,Hellride Games,,11,6,0,"20,000 .. 50,000",0,0,0,0,999,999,0,0,0,9.99,9.99,17,65,L
664090,2,Eternity Warriors VR,Vanimals,Vanimals,,255,55,0,"20,000 .. 50,000",8,0,8,0,1499,1499,0,2,0,14.99,14.99,310,82,L
656880,1,Cybercube,EGAMER,EGAMER,,140,36,0,"20,000 .. 50,000",0,0,0,0,1099,1099,0,0,0,10.99,10.99,176,80,L
680100,0,Heroes of Myths - Warriors of Gods,Ihor Kalinin,OrangeGames,,3,15,0,"20,000 .. 50,000",0,0,0,0,199,199,0,0,0,1.99,1.99,18,-83,L
620220,1,Catmaze,Redblack Spade,Redblack Spade,,367,63,0,"20,000 .. 50,000",274,0,490,0,999,999,0,4,0,9.99,9.99,430,85,L
764490,0,Stickman Jetpack,Starodymov,SCRAWL,,33,19,0,"20,000 .. 50,000",0,0,0,0,99,99,0,0,0,0.99,0.99,52,63,L
809210,1,LifeZ - Survival,iDs Games,iDs Games,,158,64,0,"20,000 .. 50,000",0,0,0,0,999,999,0,0,0,9.99,9.99,222,71,L
828030,0,One Ping Only,Triconn Games,Triconn Games,,212,21,0,"20,000 .. 50,000",6731,0,6731,0,0,0,0,0,0,0,0,233,91,L
