appid,name,developer,publisher,score_rank,positive,negative,userscore,owners,average_forever,average_2weeks,median_forever,median_2weeks,price,initialprice,discount,ccu
208200,DOOM 3,id Software,Bethesda Softworks,,7551,1213,0,"500,000 .. 1,000,000",804,0,365,0,399,999,60,88
205950,Jet Set Radio,Blit Software,SEGA,,5968,833,0,"500,000 .. 1,000,000",247,0,26,0,799,799,0,19
215790,Dream Pinball 3D,ASK Homework,Topware Interactive ACE,,332,499,0,"500,000 .. 1,000,000",270,0,288,0,699,699,0,86
931690,Himno,David Moralejo Sánchez,GrabTheGames,,4860,452,0,"500,000 .. 1,000,000",23,0,17,0,0,0,0,5
40970,Stronghold Crusader HD,FireFly Studios,FireFly Studios,,13754,360,0,"500,000 .. 1,000,000",1038,0,265,0,999,999,0,1101
851850,DRAGON BALL Z: KAKAROT,CyberConnect2 Co. Ltd.,BANDAI NAMCO Entertainment,,33315,2396,0,"500,000 .. 1,000,000",1113,406,1125,406,5999,5999,0,901
226860,Galactic Civilizations III,Stardock Entertainment,Stardock Entertainment,,7620,2326,0,"500,000 .. 1,000,000",2484,0,595,0,3999,3999,0,301
688470,汉匈决战/Han Xiongnu Wars,Shangshixuan,Shangshixuan,,2227,1562,0,"500,000 .. 1,000,000",4482,0,8740,0,699,699,0,128
394230,Battleborn,Gearbox Software,2K,,5955,3706,0,"500,000 .. 1,000,000",587,0,160,0,0,0,0,1
625960,Stoneshard,Ink Stains Games,HypeTrain Digital,,16949,5345,0,"500,000 .. 1,000,000",1105,11,633,11,2499,2499,0,534
394310,Punch Club,Lazy Bear Games,tinyBuild,,9005,2176,0,"500,000 .. 1,000,000",581,0,321,0,249,999,75,96
34830,Sniper: Ghost Warrior,City Interactive,CI Games,,3969,2979,0,"500,000 .. 1,000,000",254,0,137,0,799,799,0,25
509980,BIGFOOT,CyberLight Game Studio,CyberLight Game Studio,,11591,2703,0,"500,000 .. 1,000,000",372,0,372,0,1599,1999,20,201
40950,Stronghold HD,FireFly Studios,FireFly Studios,,7443,357,0,"500,000 .. 1,000,000",493,0,236,0,599,599,0,235
1129580,Medieval Dynasty,Render Cube,Toplitz Productions,,25202,2592,0,"500,000 .. 1,000,000",2423,783,879,886,3499,3499,0,3446
285160,LEGO The Hobbit,"Traveller's Tales, Feral Interactive (Mac)","Warner Bros. Interactive Entertainment, Feral Interactive (Mac)",,6515,1581,0,"500,000 .. 1,000,000",427,1,102,1,1999,1999,0,102
292120,FINAL FANTASY XIII,Square Enix,Square Enix,,10832,3754,0,"500,000 .. 1,000,000",1441,206,439,406,1599,1599,0,226
